SEASON,TEAM,TEAM_CLEANED,PLAYER,NUMBER,AGE,POSITION,POSITION_TYPE,VALUE_EUR,PLAYER_LINK,NATIONALITY
2016,Selangor FC,Selangor FC,Mohd Fairuz Abdul Aziz,26,30,Centre-Back,Defenders,133.0,https://www.transfermarkt.com/mohd-fairuz-abdul-aziz/profil/spieler/488882,Malaysia
2016,Selangor FC,Selangor FC,Tamil Maran,33,18,Centre-Back,Defenders,134.0,https://www.transfermarkt.com/tamil-maran/profil/spieler/548426,Malaysia
2016,Selangor FC,Selangor FC,S.Veenod,-,27,Left-Back,Midfielders,135.0,https://www.transfermarkt.com/s-veenod/profil/spieler/474221,Malaysia
2016,Selangor FC,Selangor FC,K. Kannan,3,19,Left-Back,Midfielders,136.0,https://www.transfermarkt.com/k-kannan/profil/spieler/483675,Malaysia
2016,Selangor FC,Selangor FC,Raimi Md Nor,15,29,Left-Back,Midfielders,137.0,https://www.transfermarkt.com/raimi-md-nor/profil/spieler/483674,Malaysia
2016,Selangor FC,Selangor FC,A. Namathevan,2,19,Right-Back,Midfielders,138.0,https://www.transfermarkt.com/a-namathevan/profil/spieler/483672,Malaysia
2016,Selangor FC,Selangor FC,Syahmi Safari,20,17,Right-Back,Midfielders,139.0,https://www.transfermarkt.com/syahmi-safari/profil/spieler/483678,Malaysia
2016,Selangor FC,Selangor FC,Abdul Halim Zainal,4,27,Central Midfield,Midfielders,140.0,https://www.transfermarkt.com/abdul-halim-zainal/profil/spieler/483680,Malaysia
2016,Selangor FC,Selangor FC,Saiful Ridzuwan,8,23,Central Midfield,Midfielders,141.0,https://www.transfermarkt.com/saiful-ridzuwan/profil/spieler/483679,Malaysia
2016,Selangor FC,Selangor FC,K. Sarkunan,16,19,Central Midfield,Midfielders,142.0,https://www.transfermarkt.com/k-sarkunan/profil/spieler/483681,Malaysia
2016,Selangor FC,Selangor FC,K. Satish,5,21,Right Midfield,Midfielders,143.0,https://www.transfermarkt.com/k-satish/profil/spieler/483682,Malaysia
2016,Selangor FC,Selangor FC,Fitri Shazwan,24,28,Left Midfield,Midfielders,144.0,https://www.transfermarkt.com/fitri-shazwan/profil/spieler/483677,Malaysia
