Team,Player,Number,Age,Position,Group Position,Nationality,ValueEUR
Kelantan FC,Bruno Lopes,50,29,Centre-Forward,Forwards,Brazil,500000.0
Kelantan FC,l'Imam Seydi,-,30,Centre-Forward,Forwards,France,200000.0
Kelantan FC,Alessandro Padovani Celin,-,26,Centre-Forward,Forwards,Brazil,200000.0
Kelantan FC,Mohamad Ghaddar,-,31,Centre-Forward,Forwards,Lebanon,269.0
Kelantan FC,Fakhrul Zaman Zawawi,-,23,Centre-Forward,Forwards,Malaysia,270.0
Kelantan FC,Nik Azli Nik Alias,36,18,Centre-Forward,Forwards,Malaysia,271.0
Terengganu FC II,Hafidz Romly,1,26,Goalkeeper,Goalkeeper,Malaysia,272.0
Terengganu FC II,Muhammad Izzuddin,23,23,Goalkeeper,Goalkeeper,Malaysia,273.0
Terengganu FC II,Suhaimi Husin,28,21,Goalkeeper,Goalkeeper,Malaysia,274.0
Terengganu FC II,Abdoulaye Maïga,3,27,Centre-Back,Defenders,Mali,150000.0
Terengganu FC II,Wan Amirzafran,-,21,Centre-Back,Defenders,Malaysia,276.0
Terengganu FC II,Hasbullah Awang,5,32,Centre-Back,Defenders,Malaysia,277.0
Terengganu FC II,Abdullah Suleiman,24,21,Centre-Back,Defenders,Malaysia,278.0
Terengganu FC II,Aqil Irfanuddin,29,18,Centre-Back,Defenders,Malaysia,279.0
Terengganu FC II,Arif Fadzilah,2,19,Left-Back,Defenders,Malaysia,280.0
Terengganu FC II,Hassan Basri,7,27,Left-Back,Defenders,Malaysia,281.0
Terengganu FC II,Mohd Syuhiran,16,22,Left-Back,Defenders,Malaysia,282.0
Terengganu FC II,Kamal Azizi,-,22,Right-Back,Defenders,Malaysia,283.0
Terengganu FC II,Shamsul Kamal,20,26,Right-Back,Defenders,Malaysia,284.0
Terengganu FC II,Badrul Hisyam Morris,8,28,Defensive Midfield,Midfielders,Malaysia,285.0
Terengganu FC II,Naim Zakaria,12,22,Defensive Midfield,Midfielders,Malaysia,286.0
Terengganu FC II,Shaziran Sapien,6,20,Central Midfield,Midfielders,Malaysia,287.0
Terengganu FC II,Shakir Zufayri,13,-,Central Midfield,Midfielders,Malaysia,288.0
Terengganu FC II,Ramzi Sufian,19,21,Central Midfield,Midfielders,Malaysia,289.0
Terengganu FC II,Azalinullah Alias,26,19,Central Midfield,Midfielders,Malaysia,290.0
Terengganu FC II,Ahmad Takhiyuddin,15,22,Right Midfield,Midfielders,Malaysia,291.0
Terengganu FC II,Syed Sobri,17,21,Right Midfield,Midfielders,Malaysia,292.0
Terengganu FC II,Sébastien Thuriere,-,25,Attacking Midfield,Midfielders,Haiti,293.0
Terengganu FC II,Azrul Hazran,21,30,Attacking Midfield,Midfielders,Malaysia,294.0
